id,Months since Last Donation,Number of Donations,Total Volume Donated (c.c.),Months since First Donation,Months per Donation,Made Donation in March 2007
619,2,50,12500,98,1.92,1
664,0,13,3250,28,2.153846154,1
441,1,16,4000,35,2.125,1
160,2,20,5000,45,2.15,1
358,1,24,6000,77,3.166666667,0
335,4,4,1000,4,0,0
47,2,7,1750,14,1.714285714,1
164,1,12,3000,35,2.833333333,0
736,5,46,11500,98,2.02173913,1
436,0,3,750,4,1.333333333,0
460,2,10,2500,28,2.6,1
285,1,13,3250,47,3.538461538,0
499,2,6,1500,15,2.166666667,1
356,2,5,1250,11,1.8,1
40,2,14,3500,48,3.285714286,1
191,2,15,3750,49,3.133333333,1
638,2,6,1500,15,2.166666667,1
345,2,3,750,4,0.666666667,1
463,2,3,750,4,0.666666667,1
372,4,11,2750,28,2.181818182,0
8,2,6,1500,16,2.333333333,1
539,2,6,1500,16,2.333333333,1
734,4,14,3500,40,2.571428571,0
573,4,6,1500,14,1.666666667,0
482,4,8,2000,21,2.125,0
330,1,14,3500,58,4.071428571,0
222,4,10,2500,28,2.4,1
175,4,10,2500,28,2.4,1
606,2,16,4000,64,3.875,0
340,2,8,2000,28,3.25,1
298,2,12,3000,47,3.75,1
459,4,6,1500,16,2,1
92,4,7,1750,22,2.571428571,1
446,2,13,3250,53,3.923076923,1
336,2,5,1250,16,2.8,0
403,2,5,1250,16,2.8,1
286,2,5,1250,16,2.8,0
665,4,20,5000,69,3.25,1
134,4,9,2250,28,2.666666667,1
646,2,9,2250,36,3.777777778,0
391,2,2,500,2,0,0
471,2,2,500,2,0,0
377,2,2,500,2,0,0
712,2,11,2750,46,4,0
721,2,11,2750,46,4,1
654,2,6,1500,22,3.333333333,0
332,4,5,1250,14,2,1
740,4,19,4750,69,3.421052632,1
612,4,8,2000,26,2.75,1
502,2,7,1750,28,3.714285714,1
479,3,6,1500,21,3,0
444,2,8,2000,35,4.125,1
132,4,5,1250,16,2.4,1
507,3,16,4000,74,4.4375,0
718,2,4,1000,14,3,1
214,0,2,500,4,2,0
146,4,7,1750,25,3,0
607,1,9,2250,51,5.555555556,0
591,2,4,1000,16,3.5,0
144,2,4,1000,16,3.5,0
652,4,17,4250,71,3.941176471,1
45,2,2,500,4,1,0
395,2,2,500,4,1,1
369,2,2,500,4,1,1
490,2,4,1000,16,3.5,1
66,2,2,500,4,1,0
448,2,2,500,4,1,0
380,2,4,1000,16,3.5,0
328,2,4,1000,16,3.5,0
485,2,4,1000,16,3.5,0
630,2,6,1500,28,4.333333333,1
5,2,6,1500,28,4.333333333,0
546,4,2,500,4,0,0
54,4,2,500,4,0,0
445,2,7,1750,35,4.714285714,1
510,4,2,500,4,0,1
311,4,2,500,4,0,0
476,4,2,500,4,0,0
474,12,11,2750,23,1,0
527,3,17,4250,86,4.882352941,0
506,4,9,2250,38,3.777777778,1
424,4,8,2000,34,3.75,1
155,4,9,2250,40,4,0
94,2,5,1250,26,4.8,0
719,6,17,4250,70,3.764705882,0
676,0,8,2000,59,7.375,0
271,2,3,750,14,4,0
274,2,10,2500,64,6.2,0
535,4,9,2250,46,4.666666667,0
653,4,5,1250,23,3.8,0
493,4,8,2000,40,4.5,1
279,2,12,3000,82,6.666666667,0
564,11,24,6000,64,2.208333333,0
656,2,7,1750,46,6.285714286,1
386,4,11,2750,61,5.181818182,0
182,1,7,1750,57,8,0
212,2,11,2750,79,7,1
667,2,3,750,16,4.666666667,1
308,4,5,1250,26,4.4,1
421,2,6,1500,41,6.5,1
172,2,5,1250,33,6.2,1
662,2,4,1000,26,6,0
284,2,5,1250,34,6.4,0
731,4,8,2000,46,5.25,1
544,4,8,2000,48,5.5,1
145,2,2,500,10,4,1
747,4,5,1250,28,4.8,0
168,2,2,500,10,4,0
35,2,11,2750,88,7.818181818,0
81,2,3,750,19,5.666666667,0
594,2,5,1250,37,7,0
3,9,5,1250,19,2,0
687,2,2,500,11,4.5,0
29,2,9,2250,74,8,0
151,4,3,750,16,4,0
213,4,3,750,16,4,0
135,4,2,500,9,2.5,1
472,6,3,750,14,2.666666667,0
51,2,2,500,11,4.5,0
705,2,2,500,11,4.5,1
651,2,2,500,11,4.5,0
556,2,7,1750,58,8,1
79,2,1,250,2,0,1
477,2,1,250,2,0,0
90,2,1,250,2,0,0
341,2,1,250,2,0,0
456,2,1,250,2,0,0
692,2,1,250,2,0,0
275,2,1,250,2,0,0
227,2,1,250,2,0,0
550,2,1,250,2,0,1
247,2,1,250,2,0,1
293,2,1,250,2,0,1
587,2,1,250,2,0,0
291,2,1,250,2,0,0
392,2,1,250,2,0,0
220,2,1,250,2,0,0
410,2,1,250,2,0,0
88,2,1,250,2,0,0
589,2,1,250,2,0,0
61,2,1,250,2,0,0
359,11,10,2500,35,2.4,0
671,11,4,1000,16,1.25,1
399,4,6,1500,41,6.166666667,1
631,2,3,750,22,6.666666667,0
432,4,4,1000,26,5.5,1
565,10,4,1000,16,1.5,0
618,2,4,1000,35,8.25,0
586,4,12,3000,88,7,0
59,13,8,2000,26,1.625,0
725,4,5,1250,34,6,0
367,4,5,1250,35,6.2,1
605,4,7,1750,52,6.857142857,0
296,4,7,1750,52,6.857142857,0
238,2,2,500,14,6,0
655,2,5,1250,47,9,1
314,9,8,2000,38,3.625,1
609,4,6,1500,47,7.166666667,0
113,9,9,2250,45,4,0
596,4,6,1500,52,8,0
242,4,7,1750,58,7.714285714,0
6,6,2,500,11,2.5,1
533,11,9,2250,38,3,0
19,2,2,500,16,7,0
434,2,7,1750,76,10.57142857,0
553,11,6,1500,27,2.666666667,0
517,11,3,750,14,1,0
239,4,1,250,4,0,0
689,4,1,250,4,0,0
562,4,1,250,4,0,0
111,4,1,250,4,0,1
580,4,1,250,4,0,0
379,4,1,250,4,0,0
684,4,1,250,4,0,0
252,4,1,250,4,0,0
415,4,1,250,4,0,1
282,4,1,250,4,0,0
746,4,3,750,24,6.666666667,0
217,4,1,250,4,0,0
150,4,1,250,4,0,0
540,4,1,250,4,0,0
709,10,8,2000,39,3.625,0
31,14,7,1750,26,1.714285714,0
615,8,10,2500,63,5.5,0
494,4,2,500,14,5,0
195,2,4,1000,43,10.25,0
717,8,9,2250,58,5.555555556,0
62,8,8,2000,52,5.5,1
649,11,22,5500,98,3.954545455,0
264,4,3,750,25,7,1
414,11,17,4250,79,4,1
706,9,2,500,11,1,0
693,4,5,1250,46,8.4,0
219,7,12,3000,86,6.583333333,0
555,11,2,500,11,0,0
452,11,2,500,11,0,0
519,2,6,1500,75,12.16666667,0
400,11,8,2000,41,3.75,1
70,11,3,750,16,1.666666667,1
669,12,13,3250,59,3.615384615,0
115,2,3,750,35,11,0
256,16,8,2000,28,1.5,0
269,11,7,1750,37,3.714285714,0
620,4,3,750,28,8,0
205,12,12,3000,58,3.833333333,0
578,4,4,1000,41,9.25,0
257,11,14,3500,73,4.428571429,1
498,4,5,1250,58,10.8,0
38,4,4,1000,43,9.75,1
268,3,2,500,23,10,0
707,11,8,2000,46,4.375,0
71,4,7,1750,82,11.14285714,0
702,13,4,1000,21,2,0
480,16,7,1750,28,1.714285714,0
11,7,2,500,16,4.5,0
215,4,5,1250,58,10.8,0
670,4,5,1250,58,10.8,0
120,4,4,1000,46,10.5,0
465,14,13,3250,57,3.307692308,0
385,4,3,750,34,10,0
457,14,18,4500,78,3.555555556,0
36,11,8,2000,48,4.625,0
76,14,16,4000,70,3.5,0
647,14,4,1000,22,2,1
44,14,5,1250,26,2.4,0
678,8,2,500,16,4,0
43,11,2,500,14,1.5,0
598,4,2,500,23,9.5,0
616,14,3,750,19,1.666666667,1
634,16,12,3000,50,2.833333333,0
727,11,4,1000,28,4.25,0
102,11,5,1250,35,4.8,0
304,2,4,1000,70,17,0
133,14,5,1250,28,2.8,0
567,14,2,500,14,0,0
362,14,2,500,14,0,0
114,14,2,500,14,0,0
575,14,6,1500,34,3.333333333,0
394,11,5,1250,37,5.2,1
549,4,5,1250,74,14,0
384,11,3,750,23,4,0
17,11,5,1250,38,5.4,0
121,12,9,2250,60,5.333333333,0
72,9,1,250,9,0,0
581,9,1,250,9,0,0
261,4,2,500,29,12.5,0
216,11,2,500,17,3,0
153,14,4,1000,26,3,0
626,11,9,2250,72,6.777777778,1
658,11,5,1250,41,6,0
458,9,5,1250,51,8.4,1
324,14,8,2000,50,4.5,1
253,16,7,1750,38,3.142857143,0
186,14,2,500,16,1,0
171,14,16,4000,98,5.25,0
260,14,4,1000,28,3.5,1
21,16,7,1750,39,3.285714286,0
32,14,7,1750,47,4.714285714,0
20,16,6,1500,35,3.166666667,1
413,11,3,750,28,5.666666667,0
128,11,1,250,11,0,1
142,9,3,750,34,8.333333333,0
185,14,4,1000,30,4,0
451,23,38,9500,98,1.973684211,0
469,11,1,250,11,0,0
77,11,1,250,11,0,0
159,11,1,250,11,0,0
152,11,1,250,11,0,0
551,11,1,250,11,0,0
584,11,2,500,21,5,0
488,11,5,1250,50,7.8,0
26,11,2,500,21,5,0
349,16,4,1000,28,3,0
723,14,3,750,26,4,0
735,9,2,500,26,8.5,0
572,14,6,1500,51,6.166666667,0
711,11,2,500,24,6.5,0
668,4,3,750,71,22.33333333,0
194,21,13,3250,57,2.769230769,0
201,11,6,1500,71,10,0
390,14,2,500,21,3.5,1
325,23,15,3750,57,2.266666667,0
326,14,4,1000,38,6,0
137,11,2,500,26,7.5,0
608,16,5,1250,40,4.8,1
318,4,2,500,51,23.5,1
714,14,4,1000,40,6.5,0
73,11,3,750,40,9.666666667,1
679,14,5,1250,50,7.2,0
25,14,1,250,14,0,0
18,14,1,250,14,0,0
225,14,1,250,14,0,0
122,14,1,250,14,0,0
708,14,1,250,14,0,0
428,14,7,1750,72,8.285714286,0
166,14,1,250,14,0,0
234,9,3,750,52,14.33333333,0
704,14,7,1750,73,8.428571429,0
716,11,4,1000,58,11.75,0
599,11,4,1000,59,12,0
206,4,2,500,59,27.5,0
713,11,4,1000,61,12.5,0
167,16,4,1000,40,6,0
315,16,10,2500,89,7.3,0
601,21,2,500,21,0,1
277,21,3,750,26,1.666666667,0
724,16,8,2000,76,7.5,0
648,21,3,750,26,1.666666667,1
37,18,2,500,23,2.5,0
193,23,5,1250,33,2,0
743,16,3,750,34,6,0
126,14,5,1250,64,10,0
354,14,3,750,41,9,0
438,16,1,250,16,0,0
184,16,1,250,16,0,0
236,16,1,250,16,0,0
15,16,1,250,16,0,0
163,16,1,250,16,0,0
347,16,1,250,16,0,0
412,16,4,1000,45,7.25,0
87,16,1,250,16,0,0
614,16,1,250,16,0,0
364,16,1,250,16,0,0
468,21,2,500,23,1,0
558,21,2,500,23,1,0
177,14,4,1000,57,10.75,0
593,16,5,1250,60,8.8,0
378,23,2,500,23,0,0
516,14,5,1250,74,12,0
265,23,3,750,28,1.666666667,0
543,16,3,750,40,8,0
52,9,2,500,52,21.5,0
266,9,2,500,52,21.5,0
505,16,7,1750,87,10.14285714,1
343,14,2,500,35,10.5,0
628,16,7,1750,93,11,0
327,21,2,500,25,2,0
481,14,3,750,52,12.66666667,0
522,18,8,2000,95,9.625,0
435,16,3,750,46,10,0
381,11,3,750,76,21.66666667,0
420,23,12,3000,86,5.25,0
42,21,3,750,35,4.666666667,0
78,23,2,500,26,1.5,0
538,23,2,500,26,1.5,0
180,23,3,750,33,3.333333333,0
210,23,2,500,28,2.5,0
27,21,1,250,21,0,0
251,21,1,250,21,0,0
208,21,1,250,21,0,0
660,21,1,250,21,0,0
518,21,1,250,21,0,0
602,21,1,250,21,0,0
339,21,1,250,21,0,0
431,21,1,250,21,0,0
525,21,1,250,21,0,1
116,21,1,250,21,0,0
302,21,1,250,21,0,0
69,21,5,1250,60,7.8,0
595,23,4,1000,45,5.5,0
333,21,4,1000,52,7.75,0
370,22,1,250,22,0,1
742,11,2,500,70,29.5,0
645,23,5,1250,58,7,0
604,23,3,750,40,5.666666667,0
739,23,3,750,41,6,0
112,14,3,750,83,23,0
292,21,2,500,35,7,0
281,26,5,1250,49,4.6,1
514,23,6,1500,70,7.833333333,0
117,23,1,250,23,0,0
388,23,1,250,23,0,0
554,23,1,250,23,0,0
110,23,1,250,23,0,0
588,23,1,250,23,0,0
576,23,1,250,23,0,0
141,23,1,250,23,0,0
475,23,4,1000,53,7.5,0
547,21,6,1500,86,10.83333333,0
305,21,3,750,64,14.33333333,0
560,16,2,500,70,27,0
287,21,3,750,70,16.33333333,0
295,23,4,1000,87,16,0
597,23,3,750,89,22,0
673,35,3,750,64,9.666666667,0
350,74,1,250,74,0,0
39,2,43,10750,86,1.953488372,1
677,6,22,5500,28,1,1
149,2,44,11000,98,2.181818182,0
732,2,11,2750,23,1.909090909,0
348,2,21,5250,52,2.380952381,1
190,4,4,1000,4,0,1
374,2,11,2750,26,2.181818182,0
104,2,11,2750,28,2.363636364,0
407,3,14,3500,35,2.285714286,0
408,4,6,1500,14,1.666666667,0
226,3,5,1250,12,1.8,1
157,4,33,8250,98,2.848484848,1
495,3,10,2500,33,3,1
280,4,10,2500,28,2.4,1
107,2,11,2750,40,3.454545455,1
641,2,11,2750,41,3.545454545,1
250,4,13,3250,39,2.692307692,1
258,1,10,2500,43,4.2,1
699,4,9,2250,28,2.666666667,0
322,2,5,1250,16,2.8,1
376,2,6,1500,22,3.333333333,1
366,4,5,1250,16,2.4,1
0,2,4,1000,14,3,1
124,2,4,1000,14,3,0
259,2,6,1500,26,4,0
470,4,5,1250,16,2.4,1
140,2,7,1750,32,4.285714286,1
489,2,6,1500,26,4,1
170,2,8,2000,38,4.5,1
542,2,2,500,4,1,1
355,2,6,1500,28,4.333333333,1
24,4,2,500,4,0,1
106,1,14,3500,95,6.714285714,0
255,2,3,750,11,3,0
737,2,12,3000,70,5.666666667,1
329,4,7,1750,32,4,1
398,4,4,1000,16,3,0
521,2,6,1500,35,5.5,1
531,2,3,750,14,4,0
99,2,4,1000,23,5.25,0
319,4,4,1000,18,3.5,0
661,5,6,1500,28,3.833333333,0
86,4,6,1500,30,4.333333333,0
313,14,5,1250,14,0,0
288,3,8,2000,50,5.875,0
229,4,9,2250,52,5.333333333,0
200,4,16,4000,98,5.875,1
53,2,9,2250,75,8.111111111,0
729,4,6,1500,35,5.166666667,0
331,4,9,2250,55,5.666666667,0
147,4,6,1500,35,5.166666667,1
203,2,6,1500,45,7.166666667,0
41,2,6,1500,47,7.5,0
89,4,2,500,9,2.5,0
165,2,2,500,11,4.5,1
383,4,6,1500,38,5.666666667,1
351,9,9,2250,38,3.222222222,0
108,11,5,1250,18,1.4,0
397,2,3,750,21,6.333333333,0
640,2,1,250,2,0,0
720,2,1,250,2,0,1
409,2,1,250,2,0,0
68,2,1,250,2,0,0
211,2,1,250,2,0,0
635,2,1,250,2,0,0
484,2,1,250,2,0,0
237,2,1,250,2,0,0
57,2,1,250,2,0,0
50,2,3,750,22,6.666666667,0
600,9,11,2750,49,3.636363636,1
310,3,5,1250,38,7,0
583,3,1,250,3,0,1
681,4,6,1500,43,6.5,0
503,2,3,750,24,7.333333333,0
270,12,11,2750,39,2.454545455,0
375,2,2,500,14,6,0
230,9,3,750,14,1.666666667,0
497,14,8,2000,26,1.5,0
188,4,2,500,13,4.5,0
7,4,11,2750,95,8.272727273,0
80,4,1,250,4,0,0
637,4,1,250,4,0,0
417,4,1,250,4,0,0
97,4,1,250,4,0,0
158,4,1,250,4,0,0
695,4,1,250,4,0,0
425,4,1,250,4,0,0
75,4,1,250,4,0,0
136,4,7,1750,62,8.285714286,0
603,4,4,1000,34,7.5,1
123,11,6,1500,28,2.833333333,0
422,13,3,750,14,0.333333333,1
273,9,9,2250,54,5,0
404,11,2,500,11,0,0
218,2,5,1250,63,12.2,0
561,7,11,2750,89,7.454545455,0
55,8,9,2250,64,6.222222222,0
486,2,2,500,22,10,0
443,11,16,4000,89,4.875,0
730,4,5,1250,58,10.8,0
437,14,7,1750,35,3,0
526,11,4,1000,27,4,0
371,7,9,2250,89,9.111111111,1
710,7,5,1250,52,9,0
243,11,6,1500,41,5,0
91,10,5,1250,38,5.6,0
672,14,2,500,14,0,1
666,14,2,500,14,0,0
10,14,2,500,14,0,0
342,2,2,500,33,15.5,0
682,11,3,750,23,4,0
629,14,8,2000,46,4,0
223,9,1,250,9,0,0
557,16,5,1250,27,2.2,0
46,14,4,1000,26,3,0
393,4,2,500,30,13,0
504,14,3,750,21,2.333333333,0
209,16,16,4000,77,3.8125,0
442,4,2,500,31,13.5,0
312,14,8,2000,50,4.5,0
148,11,3,750,26,5,0
636,14,7,1750,45,4.428571429,0
559,15,5,1250,33,3.6,0
13,16,2,500,16,0,0
320,16,3,750,21,1.666666667,0
411,11,8,2000,72,7.625,0
625,11,1,250,11,0,0
592,11,1,250,11,0,0
552,11,1,250,11,0,1
675,2,3,750,75,24.33333333,1
700,2,3,750,77,25,0
363,16,4,1000,28,3,0
100,16,15,3750,87,4.733333333,0
642,16,14,3500,83,4.785714286,0
524,16,10,2500,62,4.6,0
639,16,3,750,23,2.333333333,0
125,14,3,750,26,4,0
22,23,19,4750,62,2.052631579,0
430,11,7,1750,75,9.142857143,0
418,20,14,3500,69,3.5,1
130,4,2,500,46,21,0
267,11,2,500,25,7,0
492,11,3,750,37,8.666666667,0
179,13,7,1750,76,9,0
566,16,6,1500,50,5.666666667,0
611,14,3,750,33,6.333333333,0
368,14,1,250,14,0,0
697,14,1,250,14,0,0
439,14,1,250,14,0,0
627,14,1,250,14,0,0
462,17,7,1750,58,5.857142857,1
95,14,3,750,35,7,0
621,16,7,1750,64,6.857142857,0
396,21,2,500,21,0,0
109,16,3,750,35,6.333333333,0
197,16,1,250,16,0,0
416,16,1,250,16,0,0
202,16,1,250,16,0,0
198,16,1,250,16,0,0
178,16,1,250,16,0,0
577,11,4,1000,74,15.75,0
118,21,6,1500,48,4.5,0
532,23,2,500,23,0,0
338,23,6,1500,45,3.666666667,0
365,14,2,500,35,10.5,1
173,16,4,1000,58,10.5,0
715,16,5,1250,71,11,0
2,21,2,500,26,2.5,0
387,21,3,750,35,4.666666667,0
738,23,8,2000,69,5.75,0
610,21,3,750,38,5.666666667,0
450,21,3,750,40,6.333333333,0
232,21,1,250,21,0,0
440,21,1,250,21,0,0
183,25,6,1500,50,4.166666667,0
60,21,1,250,21,0,0
58,21,1,250,21,0,0
49,23,3,750,39,5.333333333,0
674,21,2,500,33,6,0
204,14,3,750,79,21.66666667,0
361,23,1,250,23,0,1
30,23,1,250,23,0,0
337,23,1,250,23,0,0
496,23,1,250,23,0,0
169,23,1,250,23,0,0
698,23,1,250,23,0,0
433,16,3,750,86,23.33333333,0
360,21,2,500,52,15.5,0
541,39,1,250,39,0,0
74,72,1,250,72,0,0
